,geometry,ev_stations_counts,ev_stations_geometries,parking_counts,restaurant_counts,library_counts,university_counts,school_counts,park_counts,cinema_counts,place_of_worship_counts,retail_counts,commercial,nodes,edges,road_density,pop_density
10,"POLYGON ((2.253598584 48.85405572222222, 2.253598584 48.84443566666667, 2.251985178798852 48.84443566666667, 2.2525351 48.8455694, 2.2509427 48.8456004, 2.2509157 48.8456, 2.2508721 48.8456004, 2.2508285 48.8456087, 2.2506759 48.8456268, 2.2505439 48.8456557, 2.2504945 48.8456704, 2.2504219 48.845688, 2.2497544 48.8458481, 2.2478828 48.8463269, 2.2467289 48.8466377, 2.2437730559999998 48.8473967797043, 2.2437730559999998 48.85405572222222, 2.253598584 48.85405572222222))",0,[],2,0,0,0,0,0,0,0,0,0,12,15,0.11363636363636363,36.21250240806007
11,"POLYGON ((2.253598584 48.84443566666667, 2.253598584 48.83661841918152, 2.2535027 48.8367306, 2.2533993 48.8368544, 2.2533009 48.8369684, 2.2530136 48.8373107, 2.2523281 48.8381405, 2.2522187 48.8382361, 2.2520859 48.8383916, 2.2520553 48.8384274, 2.2516489 48.8389058, 2.2516068 48.8392845, 2.2515678 48.8396486, 2.2515294 48.8400074, 2.2514931 48.8403644, 2.2514062 48.8411523, 2.2513072 48.8420393, 2.2513016 48.8420893, 2.2512997 48.842109, 2.2512721 48.8423977, 2.251242 48.8426798, 2.2512224 48.8428631, 2.251985178798852 48.84443566666667, 2.253598584 48.84443566666667))",0,[],4,0,0,0,0,5,0,0,0,0,6,8,0.26666666666666666,35.39927699937742
12,"POLYGON ((2.253598584 48.874381963126204, 2.2548149 48.8740806, 2.2550572 48.8741525, 2.2554112 48.8742636, 2.2584073 48.8800973, 2.2584626 48.8801181, 2.2584893 48.8801283, 2.2588832 48.8802792, 2.2588875 48.8802807, 2.2602672 48.8801053, 2.263424112 48.87971453743989, 2.263424112 48.87329583333333, 2.253598584 48.87329583333333, 2.253598584 48.874381963126204))",0,[],0,4,0,0,0,0,0,0,0,0,14,19,0.1043956043956044,36.11929614346894
13,"POLYGON ((2.263424112 48.87329583333333, 2.263424112 48.86367577777778, 2.253598584 48.86367577777778, 2.253598584 48.87329583333333, 2.263424112 48.87329583333333))",0,[],2,1,0,0,0,0,0,0,0,0,3,4,0.6666666666666666,36.21250240806007
14,"POLYGON ((2.263424112 48.86367577777778, 2.263424112 48.85405572222222, 2.253598584 48.85405572222222, 2.253598584 48.86367577777778, 2.263424112 48.86367577777778))",0,[],4,1,0,0,0,2,0,0,0,0,17,27,0.09926470588235294,36.212502408060075
15,"POLYGON ((2.263424112 48.85405572222222, 2.263424112 48.84443566666667, 2.253598584 48.84443566666667, 2.253598584 48.85405572222222, 2.263424112 48.85405572222222))",1,[[<POINT (2.261 48.853)>]],2,13,0,0,5,16,0,1,1,0,67,119,0.026910900045228402,36.21250240806007
16,"POLYGON ((2.263424112 48.84443566666667, 2.263424112 48.83481561111111, 2.2551444824736544 48.83481561111111, 2.2541952 48.8359204, 2.253598584 48.83661841918152, 2.253598584 48.84443566666667, 2.263424112 48.84443566666667))",0,[],0,32,1,0,12,19,0,4,3,0,121,196,0.01349862258953168,35.498030533113116
17,"POLYGON ((2.263424112 48.83481561111111, 2.263424112 48.833979529208435, 2.26296 48.8338989, 2.2627757 48.833918, 2.2620167 48.8340108, 2.2616456 48.8340561, 2.2611657 48.8341061, 2.2594655 48.8343047, 2.2574584 48.8345392, 2.2571084 48.8345789, 2.2568402 48.8346094, 2.2561685 48.8346875, 2.2551536 48.834805, 2.2551444824736544 48.83481561111111, 2.263424112 48.83481561111111))",0,[],0,0,0,0,0,0,0,0,0,0,3,3,0.5,27.67363561689217
18,"POLYGON ((2.263424112 48.87971453743989, 2.2646217 48.8795663, 2.27324964 48.87849100896819, 2.27324964 48.87329583333333, 2.263424112 48.87329583333333, 2.263424112 48.87971453743989))",0,[],0,2,0,0,0,0,1,0,0,0,13,19,0.12179487179487179,36.21250240806007
19,"POLYGON ((2.27324964 48.87329583333333, 2.27324964 48.86367577777778, 2.263424112 48.86367577777778, 2.263424112 48.87329583333333, 2.27324964 48.87329583333333))",0,[],2,3,0,0,4,2,0,0,0,0,33,50,0.04734848484848485,36.212502408060075
20,"POLYGON ((2.27324964 48.86367577777778, 2.27324964 48.85405572222222, 2.263424112 48.85405572222222, 2.263424112 48.86367577777778, 2.27324964 48.86367577777778))",0,[],1,11,0,0,7,4,0,1,5,0,86,144,0.01969904240766074,36.21250240806007
21,"POLYGON ((2.27324964 48.85405572222222, 2.27324964 48.84443566666667, 2.263424112 48.84443566666667, 2.263424112 48.85405572222222, 2.27324964 48.85405572222222))",0,[],0,31,1,0,8,8,0,5,0,0,103,167,0.01589567865981344,36.21250240806007
22,"POLYGON ((2.27324964 48.84443566666667, 2.27324964 48.83481561111111, 2.263424112 48.83481561111111, 2.263424112 48.84443566666667, 2.27324964 48.84443566666667))",1,[[<POINT (2.27 48.844)>]],5,22,1,1,8,0,0,0,0,0,69,109,0.023231031543052002,45.97029408841707
23,"POLYGON ((2.27324964 48.83481561111111, 2.27324964 48.82820884740436, 2.2727442 48.8279332, 2.2713365 48.8279056, 2.2678061 48.8278499, 2.2677743 48.8278688, 2.2676048 48.8279672, 2.2672998 48.8315589, 2.2696717 48.8328134, 2.2700296 48.8330081, 2.2699509 48.8330728, 2.2699136 48.8330987, 2.2688782 48.8338149, 2.2683707 48.8342122, 2.2679483 48.8345762, 2.2674688 48.8346266, 2.2669248 48.8345171, 2.2661777 48.8344521, 2.2649159 48.834231, 2.2643691 48.8341437, 2.263424112 48.833979529208435, 2.263424112 48.83481561111111, 2.27324964 48.83481561111111))",0,[],9,0,0,0,1,0,0,0,0,0,7,8,0.19047619047619047,41.641799953461835
24,"POLYGON ((2.27324964 48.87849100896819, 2.2774903 48.8779625, 2.2780343 48.8781258, 2.2786074 48.8782982, 2.2786175 48.8783012, 2.2798011 48.8786534, 2.2799643 48.8787025, 2.2808975 48.8827946, 2.280974124535206 48.88291588888889, 2.283075168 48.88291588888889, 2.283075168 48.87329583333333, 2.27324964 48.87329583333333, 2.27324964 48.87849100896819))",0,[],0,3,0,0,1,1,0,0,0,0,66,89,0.020745920745920746,43.26303557081236
25,"POLYGON ((2.280974124535206 48.88291588888889, 2.2809934 48.8829464, 2.2811176 48.883047, 2.2818271 48.8835988, 2.2818613 48.8836254, 2.2821522 48.8838487, 2.283075168 48.88455743744739, 2.283075168 48.88291588888889, 2.280974124535206 48.88291588888889))",0,[],0,0,0,0,0,0,0,0,0,0,2,1,0.5,30.24730147422768
26,"POLYGON ((2.283075168 48.87329583333333, 2.283075168 48.86367577777778, 2.27324964 48.86367577777778, 2.27324964 48.87329583333333, 2.283075168 48.87329583333333))",1,[[<POINT (2.276 48.866)>]],4,16,0,0,11,3,0,3,0,0,76,136,0.023859649122807018,36.21250240806007
27,"POLYGON ((2.283075168 48.86367577777778, 2.283075168 48.85405572222222, 2.27324964 48.85405572222222, 2.27324964 48.86367577777778, 2.283075168 48.86367577777778))",0,[],2,45,0,1,22,1,1,6,1,0,92,160,0.019111323459149548,36.21250240806007
28,"POLYGON ((2.283075168 48.85405572222222, 2.283075168 48.84443566666667, 2.27324964 48.84443566666667, 2.27324964 48.85405572222222, 2.283075168 48.85405572222222))",0,[],5,30,0,0,5,3,1,2,5,0,66,124,0.028904428904428906,41.96464456251888
29,"POLYGON ((2.283075168 48.84443566666667, 2.283075168 48.83481561111111, 2.27324964 48.83481561111111, 2.27324964 48.84443566666667, 2.283075168 48.84443566666667))",3,"[[<POINT (2.278 48.836)>], [<POINT (2.279 48.837)>], [<POINT (2.283 48.839)>]]",14,51,2,1,9,8,0,0,3,1,59,105,0.030683810637054353,55.08767802464012
30,"POLYGON ((2.283075168 48.83481561111111, 2.283075168 48.83096735634084, 2.2805217 48.831905, 2.2790539 48.8324454, 2.2763585 48.8302146, 2.2757908 48.8297038, 2.2734265 48.8283053, 2.27324964 48.82820884740436, 2.27324964 48.83481561111111, 2.283075168 48.83481561111111))",0,[],4,0,0,0,0,0,1,0,0,1,25,37,0.06166666666666667,54.36512645658165
31,"POLYGON ((2.283075168 48.88455743744739, 2.2844692 48.8856279, 2.2854584 48.8864317, 2.2856609 48.8865707, 2.2860664 48.8867705, 2.2871097 48.8872829, 2.2877584 48.8876, 2.2896453 48.8885254, 2.291175 48.8892751, 2.2911516 48.8892969, 2.2915043 48.8894592, 2.2916837 48.8894788, 2.2927238 48.8895995, 2.292900696 48.889615807851044, 2.292900696 48.88291588888889, 2.283075168 48.88291588888889, 2.283075168 48.88455743744739))",0,[],3,10,0,0,8,5,0,3,0,0,47,68,0.03145235892691952,63.97830751950375
